filename,chroma_stft,spec_cent,spec_bw,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,raga
asavari01.wav-1,0.33857793,1176.1897695993737,1197.5718979751452,0.3276391,-155.62512,232.33702,-59.514103,-12.552049,-8.488675,-43.675625,-1.7719747,-15.91157,-30.481606,-17.312965,-32.03095,-17.362345,-2.629413,-12.255923,1.6385785,-0.9313275,-12.251097,2.5414104,-4.073709,-18.06872,asavari
asavari01.wav-2,0.32438475,1238.0408284342764,1217.0895482282017,0.31418967,-157.78198,221.32954,-61.74523,-16.314838,-15.400568,-44.085495,-1.2873052,-17.725538,-30.459877,-19.792402,-33.169518,-14.370047,-3.3273826,-16.030548,-3.9513593,-5.453724,-10.208184,3.6762953,-6.598276,-18.24872,asavari
asavari01.wav-3,0.34654146,1196.4673825500236,1216.097635317595,0.30493012,-157.64778,229.66425,-60.809658,-12.200202,-2.407841,-36.75138,-2.8387766,-19.361273,-30.276096,-17.73676,-32.052914,-15.008456,-3.3407464,-16.079243,-1.2875345,-1.73723,-11.488205,1.61081,-5.742815,-16.880705,asavari
asavari01.wav-4,0.34870028,1160.5552610789855,1175.630723124227,0.2956835,-159.28513,231.81866,-54.875847,-14.711792,-5.2570543,-36.953518,-3.0220795,-17.13133,-28.070156,-16.244007,-29.984993,-14.601118,-3.3613617,-17.21989,-6.0790644,-6.13352,-12.37509,2.9276903,-5.3333173,-19.205145,asavari
asavari01.wav-5,0.33511582,1191.105026322192,1192.6261308192318,0.29551658,-158.78534,227.0189,-54.663204,-15.648007,-12.167075,-40.760193,-2.298764,-17.14834,-27.076077,-15.095884,-28.945616,-11.909621,-2.6240618,-19.139425,-8.057318,-7.2583356,-11.696795,4.0895324,-4.415872,-17.545023,asavari
asavari01.wav-6,0.2948881,1242.700391730973,1240.0714804388351,0.3064147,-159.49171,222.27032,-60.250427,-12.277818,-13.791436,-40.85812,-2.4199526,-23.781187,-28.084265,-14.057309,-30.078136,-11.545426,-6.685954,-22.069838,-6.2694454,-7.2318764,-9.922783,5.1480913,-6.6899166,-17.002888,asavari
asavari01.wav-7,0.29771444,1222.0667255721044,1218.432732500281,0.30867678,-160.178,223.96785,-57.550144,-13.619895,-15.962017,-42.44081,-2.0964603,-21.214727,-27.308956,-14.1159315,-29.398823,-11.910187,-7.2349157,-22.109882,-6.4329,-7.5243397,-10.956123,4.7874494,-4.9553013,-15.387413,asavari
asavari01.wav-8,0.3419716,1187.7115523039593,1223.1999020930537,0.29703632,-160.71294,227.8844,-58.376842,-11.381066,-5.5994787,-35.97962,-4.4012995,-24.293589,-29.675615,-15.968054,-29.604492,-12.99708,-7.93952,-20.778877,-4.7276926,-5.385815,-9.741777,3.91538,-5.5835805,-16.538046,asavari
asavari01.wav-9,0.3615973,1175.7991085132549,1161.6967406222584,0.2941161,-161.94614,235.27046,-58.23446,-16.810425,-10.9982605,-41.21381,-2.9622412,-17.764822,-27.160604,-14.797076,-29.601862,-12.815266,-2.316504,-17.570623,-7.421121,-8.402282,-12.222827,4.185491,-4.752032,-17.789516,asavari
asavari01.wav-10,0.33462015,1172.8449830270035,1210.843477595318,0.31047773,-159.74695,231.60406,-60.047073,-10.02949,-1.4803356,-36.211452,-2.6686192,-20.624418,-31.16294,-17.447596,-30.49898,-14.147685,-4.549585,-16.931257,-1.8613105,-2.1954138,-10.297616,3.0416045,-5.7504783,-19.627146,asavari
