filename,chroma_stft,spec_cent,spec_bw,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,raga
DKanada01.wav-1,0.37977472,1642.1762003017782,2667.5054311677354,0.23259735,-151.04437,196.6943,-29.326302,-33.48273,-10.703984,-8.911714,-6.5116396,-16.946266,-15.887768,-19.871374,-18.490833,1.1441572,5.4403243,-8.693188,2.0759327,5.6783905,-2.8289373,-3.369438,-0.26682818,-5.0133758,DKanada
DKanada01.wav-2,0.33438945,1663.4192349094378,2550.0739762722906,0.3016754,-132.12207,192.03624,-38.103325,-29.25233,-15.953853,-11.377008,-7.0088315,-22.4581,-18.211647,-19.792433,-23.250664,-0.109458774,2.2504919,-12.474345,1.5343502,2.7547715,-1.019232,-0.5927719,-2.397345,-3.6918275,DKanada
DKanada01.wav-3,0.3934515,1643.6527840008102,2697.624325036001,0.20629857,-158.21417,196.22711,-27.22931,-35.620552,-8.828341,-7.398025,-4.255385,-17.01459,-21.66673,-23.386019,-19.408161,2.164443,1.4514182,-13.116933,7.2470603,7.888782,-2.5847125,-1.7934444,0.30779174,-3.5214627,DKanada
DKanada01.wav-4,0.41284567,1630.1997335150631,2632.0823785339744,0.23062749,-141.14902,200.59444,-26.604439,-25.423944,1.0209969,-0.94878125,-9.769801,-17.442263,-10.611487,-15.759096,-20.960867,-2.8591244,0.38026527,-11.02881,4.7848206,4.0764155,-4.7259536,-3.1095243,1.6046371,-3.6175852,DKanada
DKanada01.wav-5,0.41548637,1596.2391085647819,2599.4290290049307,0.22621222,-141.64842,203.4075,-26.341633,-25.110697,3.9817698,-2.5053988,-10.479381,-16.52489,-10.495809,-14.535087,-20.0038,-1.5953779,0.4509528,-13.409687,3.9957511,4.7343,-4.442913,-3.3030925,1.2045213,-2.737807,DKanada
DKanada01.wav-6,0.3453449,1661.8745255858378,2718.563730182829,0.22803104,-144.72467,199.83464,-22.75438,-24.3134,0.33380964,-2.687591,-7.741882,-15.774757,-13.408462,-14.092531,-16.980658,-0.23280938,1.2386767,-11.603242,6.764361,7.7229233,-1.5391244,0.056188717,3.3019,-0.77019626,DKanada
DKanada01.wav-7,0.37792072,1673.6502878607857,2627.5088859003963,0.2448033,-135.30365,199.48657,-28.102032,-21.02612,1.5506384,-1.793138,-8.73839,-18.148262,-10.398827,-11.2429905,-18.751556,-1.9198086,1.793177,-11.519873,4.437534,5.47905,-1.4103798,-1.6462536,1.3671869,-0.5115797,DKanada
DKanada01.wav-8,0.36818454,1629.3244160078004,2629.6447480485467,0.23125227,-137.55565,203.50705,-24.220467,-22.778105,4.4691663,-0.7505769,-10.799567,-14.689059,-7.7284203,-12.445276,-18.181385,0.13795526,1.0793296,-12.656727,5.0801525,4.78236,-5.3646708,-2.9126775,3.0792909,-2.3114183,DKanada
DKanada01.wav-9,0.41904277,1614.2555495175955,2612.3371496069162,0.2229243,-140.5294,204.31833,-25.71712,-22.306166,7.9088845,-0.82292527,-11.590402,-16.253965,-7.468071,-11.953132,-18.74639,-0.8918205,1.7953522,-10.954038,6.342653,4.254209,-5.7695627,-2.2334232,3.0948699,-1.5823953,DKanada
DKanada01.wav-10,0.40963542,1662.5681544470797,2777.3489981760254,0.19269317,-152.9766,198.8452,-22.636517,-24.415634,4.99423,-0.81821465,-9.15793,-15.449397,-12.190493,-16.557714,-17.730484,-1.6392591,0.08058982,-9.554503,8.754218,5.9936986,-6.2007065,-2.3439689,3.7839463,-1.8244046,DKanada
