filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
Shiva.mp3-1,0.09519729,0.3215286,2032.6376626434796,2879.287379261555,4347.840103516512,0.032001594062074444,-258.20013,142.59392,-8.193425,37.48543,-9.751087,13.879782,-4.241929,6.979853,0.15181153,-2.8025515,-11.309956,-10.366762,-2.5646985,-9.326596,-5.7155056,-3.9430149,-8.830186,-6.820196,-1.1528275,-0.285727,unknown_raga
Shiva.mp3-2,0.12083323,0.2798282,2354.4101370642993,2869.764897482119,5050.401175243986,0.04040034186336813,-208.37012,127.03057,-35.82951,37.747616,-18.543686,-0.46906012,-7.4370513,-7.009217,-12.5563965,-9.235288,-22.953526,-16.234678,-5.007551,-18.312578,-11.491347,-5.2865305,-14.010769,-10.622977,-2.6991825,-6.646336,unknown_raga
Shiva.mp3-3,0.13577572,0.30028144,2636.504531991031,2974.3817584594535,5619.902104374716,0.04964244425215615,-184.83301,122.09036,-46.462223,41.83828,-21.614569,7.463458,-13.072651,-6.2544885,-9.93037,-11.139544,-20.549072,-11.377024,-8.489515,-11.104001,-9.659979,-9.6445875,-9.940775,-9.396535,-6.8616505,-6.7839804,unknown_raga
Shiva.mp3-4,0.15983734,0.44864053,2298.1503617449684,2723.521921603715,4655.980924449615,0.04814834352303677,-155.77153,155.65215,-31.10609,53.313663,-6.8597546,18.438795,-4.1271944,8.34609,4.7690616,1.8363345,-6.441573,2.961336,-1.13631,-0.2011117,2.548052,0.9040032,-0.46232054,-1.7490908,7.224302,1.5820576,unknown_raga
Shiva.mp3-5,0.14889914,0.49476847,1978.6707079933265,2490.595230255719,3899.484212756752,0.03926729885383568,-187.27217,163.00023,-23.394129,41.375034,-8.60221,13.114378,3.2851353,11.194607,7.693375,4.651654,0.5593998,3.3729703,-1.3020264,2.644178,2.831778,-0.45673782,-1.0365762,-1.1770731,4.4097977,1.6140066,unknown_raga
Shiva.mp3-6,0.16932361,0.41739875,2343.933595989439,2758.974953739489,4837.463894228042,0.04950214373865184,-150.68294,147.17729,-32.99442,50.62897,-3.6501684,16.15732,-1.6378988,8.850407,7.372023,4.811085,-3.868019,0.37763888,-0.3863573,-1.4558042,2.441021,2.6224828,0.32937065,0.76366955,6.803107,2.2832243,unknown_raga
Shiva.mp3-7,0.14992185,0.4303579,2209.6999413447134,2676.632163376405,4442.975221998411,0.04729922619723105,-163.5976,160.39555,-30.56279,51.35882,-11.559848,14.415532,-1.5493172,11.249459,5.005732,4.781538,-3.2704675,-0.4774452,-1.3766544,-0.68008596,2.794863,1.5773205,-1.0526671,-2.269037,5.1905565,2.2410922,unknown_raga
Shiva.mp3-8,0.18568939,0.3888529,2295.937261302069,2692.117187709231,4735.0956525902175,0.049814661470154335,-129.45615,159.0893,-37.31589,47.75589,-14.796365,9.151885,-2.5231245,13.566941,10.416287,1.4253742,-3.6680727,3.2413018,0.017357755,1.0746924,4.9582353,-1.1260031,-5.977551,-3.5897496,3.9585164,0.5028847,unknown_raga
Shiva.mp3-9,0.18940371,0.42810437,2354.2788358962225,2686.3506043967304,4705.381200706423,0.05359523944620971,-118.12722,161.64818,-42.653145,47.23547,-10.752989,15.458012,-6.7638526,10.741853,6.276194,1.325515,-5.2953553,3.710644,-0.50046337,-1.8213505,3.3554964,-0.1989592,-3.0274754,-1.9824443,5.9891357,1.3970397,unknown_raga
Shiva.mp3-10,0.0875714,0.20660236,1655.5557224900842,1699.0918264345196,3256.68437748241,0.03725277852644122,-318.88312,78.76995,-34.383686,30.982147,-5.4618907,10.852008,-11.207418,-0.46347266,-1.9591389,2.2504005,-7.585879,-7.4158063,-5.425852,-4.81791,-0.76082116,-1.1553023,-5.7939687,-5.3361425,1.7317687,-2.5417306,unknown_raga
