filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
TM_Krishna__Raga_Atana.mp3-1,0.028382756,0.31109434,1737.7846349982433,2223.095557191838,3195.0564494368514,0.0392492317521922,-381.51093,150.36316,-15.349418,11.91415,6.3005185,-0.43025723,-3.6484973,-1.8565773,-2.505614,-6.299737,-2.988097,-0.55177647,-5.3951535,-4.9252667,2.9757636,7.993808,9.250193,4.848093,-0.3622428,-7.1348033,unknown_raga
TM_Krishna__Raga_Atana.mp3-2,0.039690796,0.25851983,1779.625499091019,2158.999622183972,3326.8760293402156,0.04013579251856657,-330.39145,159.99055,-31.633863,15.266391,3.7040155,-7.4751825,-9.86278,-1.0184344,-7.716242,-14.956605,-0.16581334,6.005334,-6.49772,-7.1461697,1.4856238,2.3079133,6.9314556,5.2578974,-3.2502174,-8.92454,unknown_raga
TM_Krishna__Raga_Atana.mp3-3,0.051189817,0.29798394,1798.1022149921807,2187.4560046984793,3391.7107005245616,0.04023383324199177,-313.24997,156.47153,-31.865929,22.23542,10.316501,-0.8756188,-9.315861,2.0923517,-2.2344584,-11.5732765,1.0701052,4.76985,-4.3749785,-5.875151,0.5023775,0.0028658998,3.8189518,4.6773148,-0.77358866,-5.9511943,unknown_raga
TM_Krishna__Raga_Atana.mp3-4,0.062354278,0.3338774,1826.8403608588942,2159.5884077555547,3484.6641589678775,0.043921020769953474,-276.6921,156.79114,-33.241768,23.990856,15.690639,2.1462743,-5.391898,4.800658,3.72124,-11.027756,4.8501153,9.300334,-3.9502892,-0.8321516,4.40331,1.4937379,5.5589147,7.143744,0.62667245,-6.544751,unknown_raga
TM_Krishna__Raga_Atana.mp3-5,0.05030765,0.3429314,1572.825874490702,2146.1957438509257,2995.5660427478524,0.03179368037535791,-318.08493,159.56555,-15.772903,19.649656,14.932094,3.8147614,-2.2855134,-2.6822894,-1.4308013,-8.112568,-1.5546945,5.171063,-3.0720322,-5.5877957,4.029558,6.8011384,6.129076,3.7219124,-1.7871094,-7.2109447,unknown_raga
TM_Krishna__Raga_Atana.mp3-6,0.06549382,0.3444059,1627.462695486091,2099.7163432131,3093.9336297506934,0.035691716624910524,-291.55936,160.12846,-21.084045,22.321608,14.627437,4.884156,-4.2997875,2.4217124,2.2631545,-9.7260895,-1.3046504,5.713965,-2.1822476,-1.2036887,5.2076178,4.4420757,5.3750267,3.7870157,1.108387,-4.9970255,unknown_raga
TM_Krishna__Raga_Atana.mp3-7,0.05393772,0.3472552,1539.4734450503681,2083.176368594682,2916.9166734240785,0.03196940220673765,-317.19778,164.97957,-21.016205,19.388992,13.130109,6.222853,0.41095263,-1.7194512,-3.5769079,-8.964529,-0.89435333,5.6293817,-2.3176816,-4.929144,4.9924173,6.7953243,5.774615,4.3485236,0.61875683,-4.586484,unknown_raga
TM_Krishna__Raga_Atana.mp3-8,0.063608624,0.3415648,1663.368942786278,2099.9879280768964,3232.412009761431,0.03492224549257337,-288.86038,165.4122,-28.546324,24.227217,17.756395,6.7864213,-3.8715677,-0.8744696,0.39078307,-10.041611,-2.435606,4.5595813,-2.4541228,-3.7403417,5.759238,4.2309175,3.2700524,5.148379,1.2383789,-7.1171136,unknown_raga
TM_Krishna__Raga_Atana.mp3-9,0.07598868,0.3213926,1892.9424184837226,2169.1959383945673,3522.559205412267,0.04707029502393522,-263.7979,158.29326,-38.369656,24.624956,14.518682,5.4129386,-9.074838,2.3469226,2.8011458,-12.470931,-1.2844607,7.7809606,-2.3146026,-3.5953064,4.9807796,1.7749991,2.7568097,5.548584,2.6467955,-7.1349726,unknown_raga
TM_Krishna__Raga_Atana.mp3-10,0.020196095,0.37258017,1567.313917312513,2117.9507224152744,2818.89589892683,0.037403235029303865,-392.01236,157.01971,-4.5071044,7.0966077,2.422809,4.512731,7.5332313,1.7856048,1.491068,-2.3796077,-1.9287252,-1.3486179,-6.63336,-6.515028,2.6546404,4.9700303,1.7239275,0.5612246,-3.2194679,-5.072791,unknown_raga
